t x y z qx qy qz qw rx_deg ry_deg rz_deg
200.000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000 0.000000000 0.000000000 0.000000000 
201.000000 -0.007297020 0.088662480 0.017692830 0.001606673 0.000466055 -0.000522086 0.999998450 0.184083398 0.053502017 -0.059740789 
202.000000 0.011342820 0.168588460 0.048094820 0.003257765 0.000585676 -0.000541843 0.999994397 0.373276796 0.067315439 -0.061871698 
203.000000 -0.000497290 0.290739610 0.083727070 0.006426975 0.001658325 -0.000770132 0.999977648 0.736338658 0.190593346 -0.087027855 
204.000000 0.017959050 0.350067390 0.126683270 0.007196104 0.001090102 -0.000883495 0.999973118 0.824510694 0.125641773 -0.100339729 
205.000000 0.021006420 0.441149960 0.153683260 0.009516694 0.001097728 -0.001197685 0.999953389 1.090399830 0.127090720 -0.136041550 
206.000000 0.050291300 0.562848520 0.197066760 0.013621263 0.000164234 -0.001603408 0.999905944 1.560897901 0.021320790 -0.183463711 
207.000000 0.038893030 0.634802060 0.217850210 0.015144494 0.001018990 -0.001504913 0.999883652 1.735322637 0.119365829 -0.170662502 
208.000000 0.056534790 0.635195450 0.211204010 0.013527013 0.000657778 -0.002170473 0.999905944 1.549962583 0.078733150 -0.247675882 
209.000000 0.045999220 0.695589040 0.240761280 0.015159205 0.000924947 -0.002119919 0.999882400 1.736957241 0.109661272 -0.241290678 
210.000000 0.077030700 0.816381720 0.277060290 0.019560415 -0.000308958 -0.002044375 0.999806523 2.241669408 -0.030814750 -0.234916009 
211.000000 0.076396480 0.870967580 0.286512970 0.020490455 0.000036363 -0.001941528 0.999788165 2.348185015 0.008724782 -0.222350769 
212.000000 0.060887660 0.932772460 0.293979230 0.022220077 0.001026713 -0.001976884 0.999750614 2.546209555 0.122657006 -0.223864560 
213.000000 0.041823470 1.068843380 0.333619010 0.026965706 0.001576909 -0.002053216 0.999633014 3.090051417 0.186979000 -0.230324006 
214.000000 -0.399946830 0.890462180 0.388192090 0.017279720 0.020302020 -0.001121335 0.999643922 1.978823185 2.328473008 -0.088322499 
215.000000 -0.447344410 0.975721330 0.425299290 0.019610152 0.022079555 -0.001247269 0.999563098 2.245788467 2.532652687 -0.093339022 
216.000000 -0.434040430 1.044078170 0.464611240 0.020657923 0.020805776 -0.000675854 0.999569893 2.367318280 2.385429695 -0.028186353 
217.000000 -0.461130510 1.110055520 0.493688840 0.021772079 0.021317262 -0.001614985 0.999534369 2.492847419 2.446413326 -0.131913459 
218.000000 -0.525549720 1.200546030 0.530098340 0.024298700 0.023133453 -0.001302759 0.999436200 2.783481755 2.653980273 -0.084878705 
219.000000 -0.503963230 1.286603210 0.590680540 0.025857642 0.021124559 -0.002630015 0.999438941 2.959008796 2.427857458 -0.238830016 
220.000000 -0.526536410 1.379049870 0.626369790 0.027782625 0.021355556 -0.001937395 0.999383986 3.181499371 2.452575780 -0.154024914 
221.000000 -0.614425020 1.421046260 0.656325970 0.027624005 0.024392376 -0.003070609 0.999316037 3.160113528 2.804087677 -0.274741686 
222.000000 -0.648746940 1.477422710 0.679687780 0.028254179 0.025380388 -0.004401223 0.999268830 3.228425207 2.921767573 -0.422353246 
223.000000 -0.674621020 1.638452410 0.720879360 0.033830445 0.026087636 -0.004735406 0.999075830 3.867198605 3.006397186 -0.441614727 
224.000000 -0.658940450 1.754239800 0.774030010 0.036707398 0.025251215 -0.004383963 0.998997390 4.198622340 2.910366689 -0.396159930 
225.000000 -0.788354430 2.053729740 0.856608750 0.049061861 0.031122537 -0.004669184 0.998299837 5.615847744 3.588913380 -0.359874271 
226.000000 -0.776420910 2.136172500 0.905232130 0.050559882 0.030414617 -0.005625764 0.998241961 5.784621972 3.513927726 -0.468202919 
227.000000 -0.797148940 2.277844250 0.949869230 0.054816708 0.031057464 -0.005734360 0.997996807 6.273354883 3.590163645 -0.461615413 
228.000000 -0.826594760 2.429279830 1.016594920 0.059986047 0.032085944 -0.006519279 0.997662127 6.864660499 3.715598887 -0.525865128 
229.000000 -0.831577260 2.508124710 1.082344950 0.061394509 0.031453811 -0.005799977 0.997600973 7.029266552 3.638944896 -0.442644043 
230.000000 -0.859026540 2.603437600 1.139102580 0.062749699 0.032522958 -0.006701311 0.997476757 7.181745001 3.768355059 -0.533277563 
231.000000 -0.909777430 2.597374620 1.172385290 0.060024414 0.034672473 -0.006991044 0.997570038 6.867041567 4.014889516 -0.562068980 
232.000000 -0.923081260 2.803220750 1.260701860 0.068208575 0.035755929 -0.008477882 0.996994078 7.802431964 4.154916387 -0.690933242 
233.000000 -0.952429700 2.931401730 1.318900730 0.071996816 0.037153225 -0.008515338 0.996676266 8.238208281 4.317634100 -0.667930720 
234.000000 -0.976083950 2.951085270 1.353352220 0.069503345 0.038594447 -0.009120083 0.996793151 7.948358551 4.485632885 -0.736624279 
235.000000 -0.832925220 2.718044220 1.402631100 0.054372769 0.030650221 -0.011204121 0.997987330 6.202940618 3.577320157 -1.092537311 
236.000000 -0.787833710 2.801353340 1.421501040 0.056205902 0.027049616 -0.011303215 0.997988701 6.415915140 3.167837922 -1.120211845 
237.000000 -0.781136970 2.897979620 1.474725460 0.059031047 0.027008357 -0.011080473 0.997829199 6.741282403 3.164773696 -1.085996586 
238.000000 -0.831208300 2.948622700 1.493858840 0.059640158 0.029153941 -0.010848281 0.997735143 6.810590790 3.409380733 -1.042963797 
239.000000 -0.831677620 3.059301670 1.536418650 0.063683346 0.028490111 -0.009866648 0.997514606 7.279050531 3.330489945 -0.921511874 
240.000000 -0.830366240 3.079065080 1.526979060 0.061736014 0.028366949 -0.008133343 0.997656167 7.060961280 3.302360878 -0.730380676 
241.000000 -0.797051710 3.203659360 1.571703400 0.066710278 0.026807996 -0.007561714 0.997383535 7.635088028 3.123283888 -0.660304817 
242.000000 -0.778475550 3.251320420 1.566331240 0.067147002 0.025808521 -0.008661292 0.997371614 7.682259140 3.017704638 -0.792443247 
243.000000 -0.756730740 3.336346150 1.570101080 0.069760337 0.024441026 -0.007711743 0.997234523 7.985958065 2.855819403 -0.686745852 
244.000000 -0.709806680 3.409591020 1.580842140 0.073143065 0.022047678 -0.008750637 0.997039318 8.372968523 2.593227166 -0.815849031 
245.000000 -0.719293730 3.454571070 1.595194040 0.073146656 0.023062699 -0.008151022 0.997021198 8.374559157 2.704243888 -0.738787860 
246.000000 -0.849167700 3.319887220 1.546365620 0.064229816 0.029936641 -0.005976361 0.997468114 7.354668827 3.467904873 -0.463621081 
247.000000 -0.810373950 3.360401990 1.568144710 0.065225914 0.028174708 -0.005350619 0.997458339 7.471294314 3.262132216 -0.401644156 
248.000000 -0.792767110 3.373304610 1.551261840 0.064991191 0.027943717 -0.005697043 0.997478247 7.443187173 3.238191121 -0.443790555 
249.000000 -0.752185140 3.432781700 1.563777030 0.066500589 0.026604293 -0.004379014 0.997422040 7.620805942 3.075614832 -0.298199774 
250.000000 -0.699295100 3.476227520 1.562688950 0.067732856 0.024950556 -0.005040545 0.997378707 7.760416201 2.891979200 -0.382923809 
251.000000 -0.657337830 3.539490100 1.578862970 0.069691040 0.024160517 -0.004201551 0.997267127 7.987875420 2.795688076 -0.287543949 
252.000000 -0.630027500 3.626523610 1.581062230 0.073446743 0.023996256 -0.003476973 0.997004330 8.421714047 2.771875711 -0.195505783 
253.000000 -0.538260600 3.618741040 1.604682510 0.071600892 0.020817300 -0.002601644 0.997212708 8.211042574 2.400886484 -0.126603727 
254.000000 -0.493434150 3.681156930 1.622647790 0.073132247 0.019523615 -0.002625870 0.997127712 8.386771842 2.253401887 -0.136529460 
