t x y z qx qy qz qw rx_deg ry_deg rz_deg
200.000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000 0.000000000 0.000000000 0.000000000 
201.000000 0.046808220 0.062365830 0.040433630 0.002743236 0.001941394 -0.002513525 0.999991194 0.313793695 0.223256102 -0.287419319 
202.000000 0.099920440 0.157443440 0.079038690 0.003261613 0.002184876 -0.004027659 0.999984183 0.372745239 0.251870549 -0.460721236 
203.000000 0.168571110 0.299637220 0.135779120 0.004944528 0.002083203 -0.004025962 0.999977502 0.565641548 0.240993934 -0.460159554 
204.000000 0.289738730 0.434419400 0.224303340 0.005705537 -0.000373847 -0.003159117 0.999978663 0.653942129 -0.040773349 -0.362247347 
205.000000 0.315043100 0.608692580 0.273683020 0.008002470 -0.000779291 -0.001705988 0.999966221 0.917177128 -0.087732771 -0.196200456 
206.000000 0.343648240 0.731182570 0.306156280 0.012889093 -0.001331305 0.000187643 0.999916028 1.476997444 -0.152820832 0.019534256 
207.000000 0.352218250 0.808240960 0.331087030 0.013067641 0.000237247 0.000972298 0.999914114 1.497509819 0.025728210 0.111762920 
208.000000 0.363495610 0.803662070 0.371964920 0.008967795 0.000333035 0.001237782 0.999958967 1.027693998 0.036889450 0.142175962 
209.000000 0.360644530 0.819618360 0.451313800 0.010376759 0.000973674 0.002404358 0.999942795 1.189376795 0.108709509 0.276662729 
210.000000 0.405542070 0.927165390 0.504456770 0.014623599 0.000463603 0.002122140 0.999890710 1.675910198 0.049563034 0.243930461 
211.000000 0.444865770 1.022878780 0.486181590 0.014144682 -0.000229708 0.002182137 0.999897551 1.620854070 -0.029856844 0.249657362 
212.000000 0.484739730 1.108898350 0.539220090 0.015470505 -0.000590808 0.002101660 0.999877941 1.772714807 -0.071419165 0.239756608 
213.000000 0.487743360 1.205689440 0.609957390 0.021075112 0.000569990 0.001301508 0.999776886 2.415292819 0.062158301 0.150485360 
214.000000 0.060111520 1.004185960 0.634631330 0.010946259 0.020319937 0.003164711 0.999728595 1.262518437 2.324529281 0.388361578 
215.000000 0.032152380 1.070396840 0.696762070 0.012812012 0.022231959 0.003984761 0.999662800 1.479424616 2.541719146 0.489593435 
216.000000 0.091150190 1.150332620 0.766939430 0.014694386 0.020094407 0.003828345 0.999682766 1.693740087 2.296087097 0.472777811 
217.000000 0.096283130 1.217477580 0.813033990 0.016412010 0.019192299 0.001889311 0.999679315 1.885954610 2.195554286 0.252710531 
218.000000 0.034561660 1.252283090 0.854031110 0.019562874 0.020050970 0.002583556 0.999604211 2.249164984 2.291581762 0.341160448 
219.000000 0.042622450 1.298708050 0.913878480 0.021776281 0.018783782 0.001604404 0.999585108 2.500346066 2.148069405 0.230810328 
220.000000 -0.065127870 1.367758400 0.926155960 0.023450690 0.018412490 0.001574127 0.999554184 2.692181331 2.105218886 0.229936046 
221.000000 -0.200500760 1.445542280 0.964902230 0.022115190 0.019519559 -0.000257877 0.999564825 2.535293239 2.237025129 0.019944274 
222.000000 -0.196871310 1.573892550 1.026763210 0.021798205 0.019174717 -0.001858470 0.999576768 2.495379627 2.201514689 -0.165100590 
223.000000 -0.219688610 1.760846550 1.047996230 0.027450895 0.019611107 -0.002386230 0.999427916 3.142484358 2.254069317 -0.211760217 
224.000000 -0.165818300 1.848186830 1.100802010 0.031084126 0.019000384 -0.003555000 0.999329838 3.556728824 2.189019826 -0.339670889 
225.000000 -0.274847560 2.138149960 1.188522330 0.043941167 0.024197631 -0.005803449 0.998724170 5.025200948 2.799642549 -0.542992007 
226.000000 -0.298129220 2.216696410 1.192271250 0.045634332 0.023055482 -0.008170422 0.998658699 5.213604525 2.682125094 -0.815362042 
227.000000 -0.322392880 2.294743500 1.169883950 0.049520472 0.023870686 -0.008055764 0.998455316 5.659666611 2.777955541 -0.787189152 
228.000000 -0.318198820 2.437260550 1.220286030 0.053436497 0.024865187 -0.007299937 0.998234929 6.111102302 2.890237083 -0.683661728 
229.000000 -0.248127870 2.553729740 1.299391060 0.054207648 0.021589924 -0.005708818 0.998279928 6.204975045 2.506028192 -0.519450041 
230.000000 -0.234969490 2.679987660 1.348816810 0.054672572 0.020795510 -0.006667625 0.998265495 6.256259232 2.421350050 -0.633022159 
231.000000 -0.272392630 2.704914350 1.405700580 0.051729156 0.023751142 -0.007841173 0.998347882 5.913957305 2.764736957 -0.757160865 
232.000000 -0.298437040 2.940149430 1.492790100 0.060816170 0.025086912 -0.010409022 0.997779381 6.949788845 2.942198206 -1.016699623 
233.000000 -0.399500040 3.073475540 1.504551380 0.065091240 0.025605260 -0.011732945 0.997481749 7.436830985 3.015664856 -1.151795922 
234.000000 -0.481372010 3.051027370 1.511113930 0.063097016 0.026407264 -0.011273335 0.997594274 7.208411181 3.101795144 -1.099464667 
235.000000 -0.343002350 2.809170110 1.553129600 0.049729634 0.018951362 -0.013033292 0.998497843 5.675350476 2.243248467 -1.384461201 
236.000000 -0.263244850 2.889433850 1.573304050 0.052678437 0.015345749 -0.014449784 0.998389049 6.015522107 1.843204548 -1.561522295 
237.000000 -0.195731350 2.948736140 1.618302000 0.053478565 0.014862353 -0.014801552 0.998348670 6.107401989 1.791286371 -1.603245265 
238.000000 -0.225426350 2.970752170 1.628722540 0.052528144 0.016242625 -0.015634863 0.998364924 5.994745589 1.952713058 -1.692153439 
239.000000 -0.243136410 3.070479800 1.667059060 0.056652020 0.014818797 -0.015586972 0.998162311 6.470362368 1.796470968 -1.687725216 
240.000000 -0.275596430 3.081830350 1.636946730 0.054213947 0.013496437 -0.015529222 0.998317353 6.192573279 1.640674303 -1.693618208 
241.000000 -0.303996170 3.163201000 1.643356130 0.057999989 0.011270833 -0.016825123 0.998111159 6.628780269 1.401067401 -1.850340622 
242.000000 -0.363577210 3.160397810 1.624522060 0.057378415 0.009874389 -0.017499622 0.998150278 6.558978944 1.244587954 -1.937501023 
243.000000 -0.335719770 3.173748000 1.612881930 0.059868303 0.007900187 -0.015434029 0.998055692 6.850461726 1.009470444 -1.711492365 
244.000000 -0.252767630 3.207038580 1.572416230 0.062968163 0.004730744 -0.017294231 0.997854468 7.210264551 0.665743810 -1.943889783 
245.000000 -0.285947840 3.227597980 1.550026940 0.064372269 0.004237022 -0.016970813 0.997772644 7.372593415 0.609642538 -1.909587467 
246.000000 -0.458093560 3.025253100 1.489449540 0.056544710 0.010444036 -0.014194442 0.998244527 6.466530788 1.286779137 -1.556619222 
247.000000 -0.431182430 3.039462410 1.563705040 0.056261915 0.007338101 -0.013142016 0.998302578 6.439530643 0.924225602 -1.456444382 
248.000000 -0.434485780 3.035180090 1.585622750 0.053655793 0.006046428 -0.014380976 0.998437622 6.141251206 0.780232645 -1.608547704 
249.000000 -0.439569760 3.114743470 1.604101960 0.053620320 0.004618228 -0.014255427 0.998448955 6.139457850 0.615992545 -1.602943206 
250.000000 -0.414384890 3.164443230 1.645275100 0.053546582 0.001353463 -0.014286205 0.998462236 6.136112628 0.242517617 -1.626489243 
251.000000 -0.385141720 3.202060660 1.650405210 0.053553184 -0.001622557 -0.014360918 0.998460409 6.141728879 -0.097515864 -1.653295402 
252.000000 -0.360928960 3.294788370 1.642212170 0.056667388 -0.002189929 -0.014689433 0.998282641 6.500096785 -0.155129235 -1.694868137 
253.000000 -0.311447990 3.256821390 1.655566760 0.054226848 -0.004416213 -0.012123953 0.998445269 6.222815028 -0.429940474 -1.414768353 
254.000000 -0.296841900 3.303116860 1.577455710 0.056603216 -0.005245936 -0.010899476 0.998323473 6.496113914 -0.529442958 -1.281081871 
255.000000 -0.239176200 3.377530070 1.548809650 0.061235931 -0.006319824 -0.010087545 0.998052334 7.028829906 -0.652016539 -1.198207991 
256.000000 -0.210373530 3.406338220 1.538975620 0.062454513 -0.005335239 -0.007932784 0.998002024 7.166314557 -0.553387418 -0.945483899 
