t,xc,yc,zc,rx_degc,ry_degc,rz_degc
200.00,0.00,0.00,0.00,0.00,0.00,0.00
200.33,-0.00,0.03,0.01,0.06,0.02,-0.02
200.67,-0.00,0.06,0.01,0.12,0.03,-0.03
201.00,0.01,0.09,0.02,0.09,0.09,0.08
201.33,0.00,0.12,0.02,0.16,0.11,0.07
201.67,0.00,0.15,0.03,0.24,0.12,0.06
202.00,0.02,0.18,0.05,0.19,0.26,0.23
202.33,0.02,0.21,0.07,0.28,0.28,0.23
202.67,0.02,0.24,0.08,0.36,0.29,0.22
203.00,0.04,0.27,0.09,0.30,0.43,0.45
203.33,0.04,0.30,0.10,0.37,0.44,0.44
203.67,0.05,0.33,0.11,0.44,0.43,0.43
204.00,0.07,0.36,0.12,0.17,0.54,0.66
204.33,0.07,0.40,0.12,0.24,0.53,0.66
204.67,0.08,0.43,0.13,0.33,0.52,0.64
205.00,0.07,0.45,0.15,0.27,0.29,0.27
205.33,0.07,0.48,0.18,0.39,0.28,0.25
205.67,0.08,0.50,0.19,0.51,0.27,0.24
206.00,0.07,0.52,0.22,0.95,0.34,0.14
206.33,0.07,0.53,0.24,1.04,0.33,0.13
206.67,0.08,0.56,0.24,1.10,0.33,0.12
207.00,0.11,0.59,0.24,1.23,0.52,0.12
207.33,0.11,0.61,0.22,1.23,0.52,0.10
207.67,0.12,0.64,0.22,1.23,0.52,0.09
208.00,0.14,0.66,0.21,1.31,0.68,0.24
208.33,0.14,0.69,0.20,1.32,0.68,0.24
208.67,0.15,0.71,0.21,1.38,0.67,0.23
209.00,0.17,0.72,0.23,1.47,0.89,0.42
209.33,0.17,0.73,0.26,1.58,0.87,0.42
209.67,0.17,0.76,0.27,1.69,0.85,0.43
210.00,0.19,0.78,0.28,1.58,0.95,0.76
210.33,0.19,0.80,0.29,1.68,0.94,0.77
210.67,0.19,0.83,0.30,1.75,0.94,0.77
211.00,0.21,0.87,0.29,1.31,0.92,1.03
211.33,0.21,0.91,0.28,1.37,0.95,1.03
211.67,0.19,0.93,0.29,1.46,0.98,1.03
212.00,0.15,0.92,0.33,1.64,0.38,0.91
212.33,0.09,0.91,0.38,1.73,0.46,0.91
212.67,0.05,0.91,0.39,1.75,0.65,0.91
213.00,0.08,0.93,0.39,1.72,1.41,1.23
213.33,0.05,0.95,0.38,1.62,1.78,1.23
213.67,0.01,0.96,0.37,1.50,2.16,1.22
214.00,-0.01,0.99,0.35,1.75,2.39,1.08
214.33,-0.02,1.01,0.34,1.64,2.73,1.08
214.67,-0.07,1.02,0.36,1.59,2.94,1.09
