t,xc,yc,zc,rx_degc,ry_degc,rz_degc,vx,vy,vz,rx,ry,rz
260.00,-0.39,3.78,1.69,8.08,2.41,81.36,-0.17,0.20,-0.11,-96.15,-21.21,1.99
260.33,-0.37,3.80,1.70,8.19,2.38,81.41,-0.11,0.20,-0.10,-96.10,-21.11,2.00
260.67,-0.36,3.82,1.71,8.26,2.34,81.44,-0.06,0.21,-0.09,-96.04,-21.05,2.02
261.00,-0.33,3.84,1.72,7.24,2.46,82.43,-0.03,0.22,-0.09,-95.98,-21.01,2.02
261.33,-0.33,3.86,1.73,7.27,2.40,82.45,-0.01,0.22,-0.09,-95.90,-20.99,2.02
261.67,-0.32,3.87,1.74,7.31,2.33,82.48,-0.02,0.22,-0.09,-95.82,-20.96,2.01
262.00,-0.28,3.88,1.75,6.23,2.26,83.83,-0.04,0.22,-0.09,-95.74,-20.92,2.00
262.33,-0.26,3.89,1.77,6.29,2.20,83.86,-0.07,0.22,-0.09,-95.66,-20.87,1.99
262.67,-0.24,3.90,1.79,6.37,2.15,83.88,-0.08,0.20,-0.09,-95.60,-20.80,1.99
263.00,-0.23,3.91,1.81,6.84,4.08,84.72,-0.08,0.18,-0.08,-95.50,-20.70,1.91
263.33,-0.20,3.93,1.83,6.93,4.05,84.74,-0.06,0.16,-0.06,-95.45,-20.62,1.91
263.67,-0.18,3.95,1.85,6.99,4.01,84.75,-0.03,0.14,-0.04,-95.41,-20.56,1.91
264.00,-0.17,3.96,1.86,5.97,4.15,81.73,0.02,0.12,-0.02,-95.38,-20.54,1.91
264.33,-0.15,3.97,1.87,5.98,4.12,81.73,0.08,0.12,-0.00,-95.35,-20.53,1.90
264.67,-0.14,3.98,1.88,5.97,4.07,81.74,0.13,0.12,0.01,-95.31,-20.56,1.90
265.00,-0.20,3.97,1.89,5.81,1.24,81.55,0.18,0.14,0.01,-95.29,-20.60,1.98
265.33,-0.20,3.97,1.90,5.76,1.18,81.57,0.21,0.16,0.00,-95.24,-20.66,1.99
265.67,-0.18,3.97,1.91,5.71,1.11,81.58,0.23,0.18,0.00,-95.17,-20.72,1.99
266.00,-0.23,3.94,1.93,5.87,0.11,80.41,0.24,0.20,-0.00,-95.10,-20.80,2.03
266.33,-0.21,3.93,1.95,5.83,0.01,80.44,0.25,0.21,-0.01,-95.00,-20.86,2.03
266.67,-0.18,3.92,1.96,5.79,-0.08,80.46,0.26,0.21,0.00,-94.91,-20.91,2.03
267.00,-0.19,3.90,1.99,6.25,-0.99,79.62,0.28,0.21,0.01,-94.82,-20.98,2.06
267.33,-0.15,3.89,2.01,6.20,-1.08,79.65,0.33,0.19,0.04,-94.74,-21.04,2.06
267.67,-0.11,3.88,2.03,6.14,-1.17,79.68,0.45,0.16,0.09,-94.66,-21.13,2.08
268.00,-0.06,3.85,2.07,6.16,-0.31,80.24,0.64,0.11,0.16,-94.57,-21.21,2.06
268.33,0.02,3.81,2.10,5.98,-0.40,80.27,0.86,0.06,0.24,-94.51,-21.41,2.08
268.67,0.05,3.76,2.11,5.64,-0.52,80.29,1.08,-0.00,0.34,-94.45,-21.77,2.08
269.00,0.00,3.68,2.09,5.11,-2.13,79.94,1.31,-0.04,0.44,-94.67,-22.34,2.75
269.33,-0.03,3.60,2.06,4.50,-2.28,79.94,1.47,-0.08,0.53,-94.62,-22.97,2.73
269.67,-0.05,3.51,2.04,3.85,-2.44,79.93,1.48,-0.10,0.56,-94.58,-23.64,2.73
270.00,-0.11,3.42,2.00,3.15,-3.33,79.77,1.35,-0.08,0.54,-94.65,-24.34,2.95
270.33,-0.17,3.34,1.97,2.54,-3.47,79.79,1.14,-0.06,0.48,-94.62,-24.96,2.96
270.67,-0.15,3.28,1.99,2.12,-3.57,79.81,0.90,-0.03,0.40,-94.59,-25.37,2.98
271.00,-0.06,3.23,2.04,1.97,-2.62,79.67,0.64,0.01,0.30,-94.55,-25.60,2.96
271.33,0.03,3.20,2.10,1.87,-2.67,79.69,0.41,0.04,0.21,-94.52,-25.70,2.98
271.67,0.08,3.18,2.14,1.80,-2.71,79.71,0.27,0.05,0.15,-94.49,-25.77,2.99
272.00,0.12,3.17,2.18,1.81,-3.88,79.39,0.21,0.05,0.13,-94.48,-25.82,3.02
272.33,0.16,3.16,2.22,1.78,-3.91,79.39,0.19,0.04,0.13,-94.46,-25.85,3.03
272.67,0.17,3.15,2.25,1.74,-3.95,79.38,0.18,0.04,0.13,-94.44,-25.91,3.04
273.00,0.17,3.13,2.27,1.66,-5.34,79.48,0.18,0.03,0.13,-94.46,-25.97,3.13
273.33,0.16,3.12,2.29,1.59,-5.38,79.47,0.16,0.03,0.13,-94.45,-26.04,3.15
273.67,0.17,3.12,2.32,1.55,-5.42,79.45,0.13,0.03,0.12,-94.44,-26.08,3.17
274.00,0.18,3.10,2.35,2.06,-6.66,78.25,0.08,0.03,0.10,-94.43,-26.11,3.19
274.33,0.19,3.09,2.39,2.06,-6.69,78.22,0.04,0.02,0.09,-94.43,-26.11,3.21
274.67,0.21,3.09,2.43,2.09,-6.72,78.17,0.02,0.01,0.09,-94.43,-26.09,3.24
275.00,0.25,3.08,2.47,2.25,-4.72,79.29,0.04,-0.00,0.11,-94.40,-25.99,3.17
275.33,0.29,3.09,2.52,2.30,-4.74,79.23,0.09,-0.03,0.14,-94.42,-25.94,3.22
275.67,0.32,3.08,2.57,2.29,-4.76,79.15,0.21,-0.07,0.21,-94.45,-25.95,3.26
276.00,0.37,3.05,2.62,2.52,-5.06,80.35,0.39,-0.13,0.32,-94.48,-25.99,3.29
276.33,0.40,3.02,2.67,2.38,-5.12,80.23,0.58,-0.20,0.43,-94.53,-26.15,3.32
276.67,0.41,2.98,2.69,2.10,-5.19,80.08,0.76,-0.28,0.55,-94.60,-26.44,3.34
277.00,0.37,2.92,2.70,1.66,-6.14,79.82,0.91,-0.37,0.67,-94.82,-26.85,3.62
277.33,0.33,2.86,2.71,1.18,-6.22,79.62,0.99,-0.45,0.77,-94.95,-27.34,3.66
277.67,0.31,2.81,2.71,0.70,-6.26,79.41,0.99,-0.51,0.80,-95.14,-27.82,3.72
278.00,0.27,2.78,2.70,-0.04,-7.33,79.46,0.90,-0.53,0.78,-95.42,-28.28,3.86
278.33,0.24,2.77,2.68,-0.47,-7.32,79.22,0.75,-0.52,0.71,-95.69,-28.70,3.98
278.67,0.25,2.74,2.69,-0.79,-7.32,78.96,0.60,-0.48,0.62,-95.93,-29.00,4.07
279.00,0.29,2.73,2.73,-2.73,-8.15,78.90,0.44,-0.41,0.51,-96.15,-29.19,4.15
279.33,0.34,2.72,2.77,-2.83,-8.20,78.58,0.29,-0.34,0.41,-96.33,-29.30,4.21
279.67,0.37,2.71,2.81,-2.89,-8.30,78.24,0.19,-0.30,0.34,-96.47,-29.37,4.24
280.00,0.41,2.68,2.86,-3.11,-8.80,75.37,0.14,-0.28,0.30,-96.59,-29.48,4.25
280.33,0.45,2.66,2.91,-3.09,-8.96,74.96,0.10,-0.28,0.29,-96.68,-29.50,4.25
280.67,0.47,2.66,2.95,-3.08,-9.11,74.52,0.07,-0.32,0.30,-96.81,-29.53,4.27
281.00,0.49,2.64,2.97,-3.67,-10.91,77.00,0.04,-0.38,0.32,-97.02,-29.42,4.40
281.33,0.49,2.65,2.99,-3.65,-11.03,76.52,-0.00,-0.45,0.34,-97.23,-29.44,4.47
281.67,0.49,2.67,3.01,-3.61,-11.12,76.00,-0.06,-0.49,0.34,-97.49,-29.43,4.56
282.00,0.53,2.69,3.02,-4.82,-11.32,79.27,-0.14,-0.52,0.32,-97.82,-29.17,4.66
282.33,0.53,2.73,3.03,-4.71,-11.38,78.70,-0.22,-0.53,0.29,-98.13,-29.09,4.77
282.67,0.55,2.76,3.06,-4.54,-11.47,78.09,-0.27,-0.53,0.27,-98.42,-28.95,4.87
283.00,0.61,2.75,3.12,-4.66,-7.46,79.00,-0.29,-0.53,0.26,-98.52,-28.67,4.60
283.33,0.66,2.76,3.17,-4.46,-7.58,78.35,-0.30,-0.53,0.26,-98.78,-28.48,4.68
283.67,0.68,2.78,3.20,-4.31,-7.72,77.66,-0.30,-0.56,0.28,-99.06,-28.32,4.77
284.00,0.70,2.76,3.23,-4.67,-8.34,80.10,-0.29,-0.62,0.32,-99.37,-27.82,4.89
284.33,0.69,2.78,3.24,-4.56,-8.49,79.36,-0.31,-0.67,0.34,-99.70,-27.70,5.00
284.67,0.70,2.83,3.25,-4.43,-8.62,78.55,-0.35,-0.65,0.31,-100.06,-27.55,5.10
285.00,0.77,2.89,3.23,-7.88,-8.54,80.74,-0.42,-0.58,0.25,-100.64,-27.20,5.16
285.33,0.79,2.98,3.22,-7.70,-8.73,79.87,-0.49,-0.48,0.15,-100.99,-26.99,5.23
285.67,0.83,3.02,3.25,-7.43,-9.04,78.98,-0.52,-0.38,0.07,-101.19,-26.74,5.23
286.00,0.83,2.95,3.34,-6.47,-4.64,74.75,-0.53,-0.27,-0.01,-100.90,-26.99,4.42
286.33,0.90,2.93,3.43,-6.14,-5.10,73.82,-0.52,-0.20,-0.05,-100.91,-26.70,4.34
286.67,0.93,2.94,3.48,-5.86,-5.59,72.85,-0.50,-0.21,-0.03,-100.96,-26.46,4.28
287.00,0.96,2.90,3.52,-5.19,-3.50,74.87,-0.48,-0.32,0.05,-100.63,-25.71,3.61
