t,xc,yc,zc,rxdegc,rydegc,rzdegc,vx,vy,vz,rx,ry,rz
200.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.08,0.20,-0.12,-120.00,0.00,0.00
200.33,-0.00,0.03,0.01,0.06,0.02,-0.02,-0.07,0.20,-0.12,-119.94,0.02,-0.02
200.67,-0.00,0.06,0.01,0.12,0.03,-0.03,-0.06,0.20,-0.12,-119.88,0.03,-0.03
201.00,0.01,0.09,0.02,0.09,0.09,0.08,-0.05,0.21,-0.13,-119.82,0.05,-0.05
201.33,0.00,0.12,0.02,0.16,0.11,0.07,-0.05,0.22,-0.14,-119.75,0.06,-0.06
201.67,0.00,0.15,0.03,0.24,0.12,0.06,-0.04,0.23,-0.14,-119.67,0.08,-0.06
202.00,0.02,0.18,0.05,0.19,0.26,0.23,-0.04,0.24,-0.14,-119.59,0.10,-0.07
202.33,0.02,0.21,0.07,0.28,0.28,0.23,-0.04,0.24,-0.14,-119.50,0.12,-0.08
202.67,0.02,0.24,0.08,0.36,0.29,0.22,-0.03,0.23,-0.14,-119.41,0.13,-0.08
203.00,0.04,0.27,0.09,0.30,0.43,0.45,-0.02,0.22,-0.13,-119.34,0.15,-0.09
203.33,0.04,0.30,0.10,0.37,0.44,0.44,-0.01,0.21,-0.12,-119.27,0.15,-0.10
203.67,0.05,0.33,0.11,0.44,0.43,0.43,-0.00,0.22,-0.12,-119.20,0.15,-0.11
204.00,0.07,0.36,0.12,0.17,0.54,0.66,0.00,0.23,-0.14,-119.14,0.15,-0.12
204.33,0.07,0.40,0.12,0.24,0.53,0.66,0.01,0.24,-0.16,-119.07,0.14,-0.13
204.67,0.08,0.43,0.13,0.33,0.52,0.64,0.01,0.26,-0.17,-118.98,0.12,-0.14
205.00,0.07,0.45,0.15,0.27,0.29,0.27,0.01,0.28,-0.19,-118.87,0.10,-0.14
205.33,0.07,0.48,0.18,0.39,0.28,0.25,0.01,0.29,-0.20,-118.75,0.09,-0.16
205.67,0.08,0.50,0.19,0.51,0.27,0.24,0.00,0.27,-0.19,-118.64,0.08,-0.17
206.00,0.07,0.52,0.22,0.95,0.34,0.14,-0.00,0.24,-0.16,-118.51,0.07,-0.17
206.33,0.07,0.53,0.24,1.04,0.33,0.13,-0.01,0.19,-0.12,-118.42,0.07,-0.18
206.67,0.08,0.56,0.24,1.10,0.33,0.12,-0.02,0.14,-0.08,-118.37,0.07,-0.19
207.00,0.11,0.59,0.24,1.23,0.52,0.12,-0.02,0.10,-0.04,-118.35,0.08,-0.21
207.33,0.11,0.61,0.22,1.23,0.52,0.10,-0.02,0.07,-0.02,-118.35,0.08,-0.22
207.67,0.12,0.64,0.22,1.23,0.52,0.09,-0.02,0.07,-0.02,-118.35,0.09,-0.23
208.00,0.14,0.66,0.21,1.31,0.68,0.24,-0.01,0.10,-0.05,-118.35,0.09,-0.25
208.33,0.14,0.69,0.20,1.32,0.68,0.24,0.01,0.14,-0.08,-118.33,0.08,-0.26
208.67,0.15,0.71,0.21,1.38,0.67,0.23,0.02,0.18,-0.12,-118.27,0.07,-0.26
209.00,0.17,0.72,0.23,1.47,0.89,0.42,0.03,0.23,-0.16,-118.17,0.06,-0.27
209.33,0.17,0.73,0.26,1.58,0.87,0.42,0.04,0.26,-0.18,-118.06,0.04,-0.27
209.67,0.17,0.76,0.27,1.69,0.85,0.43,0.04,0.26,-0.19,-117.95,0.02,-0.26
210.00,0.19,0.78,0.28,1.58,0.95,0.76,0.03,0.25,-0.18,-117.85,0.01,-0.26
210.33,0.19,0.80,0.29,1.68,0.94,0.77,0.01,0.23,-0.16,-117.76,0.00,-0.26
210.67,0.19,0.83,0.30,1.75,0.94,0.77,-0.01,0.22,-0.16,-117.68,0.01,-0.26
211.00,0.21,0.87,0.29,1.31,0.92,1.03,-0.03,0.23,-0.16,-117.63,0.03,-0.26
211.33,0.21,0.91,0.28,1.37,0.95,1.03,-0.07,0.22,-0.16,-117.57,0.05,-0.26
211.67,0.19,0.93,0.29,1.46,0.98,1.03,-0.15,0.20,-0.13,-117.48,0.08,-0.26
212.00,0.15,0.92,0.33,1.64,0.38,0.91,-0.27,0.15,-0.08,-117.37,0.11,-0.25
212.33,0.09,0.91,0.38,1.73,0.46,0.91,-0.41,0.09,-0.02,-117.28,0.20,-0.25
212.67,0.05,0.91,0.39,1.75,0.65,0.91,-0.56,0.01,0.06,-117.26,0.40,-0.25
213.00,0.08,0.93,0.39,1.72,1.41,1.23,-0.70,-0.09,0.16,-117.32,0.72,-0.37
213.33,0.05,0.95,0.38,1.62,1.78,1.23,-0.80,-0.17,0.24,-117.42,1.10,-0.36
213.67,0.01,0.96,0.37,1.50,2.16,1.22,-0.79,-0.19,0.26,-117.54,1.48,-0.35
214.00,-0.01,0.99,0.35,1.75,2.41,1.09,-0.69,-0.15,0.23,-117.67,1.86,-0.35
214.33,-0.02,1.01,0.34,1.64,2.74,1.09,-0.54,-0.08,0.17,-117.77,2.19,-0.34
214.67,-0.06,1.02,0.36,1.60,2.95,1.10,-0.39,-0.01,0.11,-117.81,2.39,-0.33
215.00,-0.13,1.00,0.40,1.30,3.26,1.08,-0.23,0.06,0.04,-117.79,2.46,-0.33
215.33,-0.19,1.00,0.45,1.36,3.27,1.09,-0.10,0.12,-0.02,-117.73,2.46,-0.32
215.67,-0.22,1.01,0.47,1.42,3.27,1.10,-0.03,0.16,-0.06,-117.68,2.46,-0.31
216.00,-0.23,1.04,0.48,0.97,3.46,1.22,-0.02,0.17,-0.07,-117.65,2.44,-0.32
216.33,-0.24,1.07,0.49,1.02,3.45,1.22,-0.03,0.17,-0.08,-117.60,2.43,-0.32
216.67,-0.24,1.09,0.50,1.07,3.47,1.23,-0.04,0.18,-0.08,-117.55,2.43,-0.33
217.00,-0.24,1.11,0.52,0.95,4.17,1.50,-0.05,0.19,-0.09,-117.49,2.45,-0.35
217.33,-0.23,1.14,0.54,1.02,4.21,1.52,-0.05,0.20,-0.10,-117.42,2.48,-0.36
217.67,-0.24,1.16,0.56,1.09,4.23,1.54,-0.03,0.21,-0.10,-117.35,2.48,-0.37
218.00,-0.25,1.18,0.58,1.39,3.76,0.62,0.01,0.21,-0.10,-117.28,2.45,-0.36
218.33,-0.25,1.21,0.60,1.47,3.76,0.66,0.04,0.21,-0.09,-117.21,2.41,-0.37
218.67,-0.26,1.24,0.62,1.54,3.73,0.71,0.06,0.20,-0.08,-117.14,2.36,-0.38
219.00,-0.28,1.26,0.65,1.79,2.98,0.35,0.06,0.18,-0.07,-117.07,2.30,-0.35
219.33,-0.30,1.28,0.66,1.84,2.96,0.44,0.04,0.16,-0.05,-117.02,2.24,-0.35
